         
node   1 sent_total  51658  recv_total   5676

node   2  (   1,    0) (   0,    0) (   1,    4) (   1,    5) (   1,    5) (   1,    7) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9) (   1,    9)
          (   1,    9) (   1,    9) (   1,    9) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8)
          (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8)
          (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8)
          (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8)
          (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8)
          (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8) (   1,    8)
